,breakdown,auc,disease,Age Range,Gender
79,FTD|50-70|Female|Carriers,0.47058823529411764,FTD,50-70,Female
80,FTD|50-70|Female|Non Carriers,0.4755555555555556,FTD,50-70,Female
81,FTD|50-70|Female|Non Carriers,0.4933333333333333,FTD,50-70,Female
82,FTD|50-70|Female|All,0.6552734375,FTD,50-70,Female
83,FTD|50-70|Female|All,0.5673828125,FTD,50-70,Female
84,FTD|50-70|All|Carriers,0.5739795918367346,FTD,50-70,All
85,FTD|50-70|All|Carriers,0.5089285714285714,FTD,50-70,All
86,FTD|50-70|All|Non Carriers,0.6563614744351962,FTD,50-70,All
87,FTD|50-70|All|Non Carriers,0.6848989298454221,FTD,50-70,All
88,FTD|50-70|All|All,0.6214219759926131,FTD,50-70,All
89,FTD|50-70|All|All,0.6666666666666666,FTD,50-70,All
90,FTD|55-70|Male|Carriers,0.485,FTD,55-70,Male
91,FTD|55-70|Male|Carriers,0.675,FTD,55-70,Male
92,FTD|55-70|Male|Non Carriers,0.5562130177514792,FTD,55-70,Male
93,FTD|55-70|Male|Non Carriers,0.5857988165680473,FTD,55-70,Male
94,FTD|55-70|Male|All,0.6475694444444444,FTD,55-70,Male
95,FTD|55-70|Male|All,0.4409722222222222,FTD,55-70,Male
96,FTD|55-70|Female|Carriers,0.47265625,FTD,55-70,Female
97,FTD|55-70|Female|Carriers,0.57421875,FTD,55-70,Female
98,FTD|55-70|Female|Non Carriers,0.45918367346938777,FTD,55-70,Female
99,FTD|55-70|Female|Non Carriers,0.576530612244898,FTD,55-70,Female
100,FTD|55-70|Female|All,0.5366666666666667,FTD,55-70,Female
101,FTD|55-70|Female|All,0.7433333333333333,FTD,55-70,Female
102,FTD|55-70|All|Carriers,0.5088757396449703,FTD,55-70,All
103,FTD|55-70|All|Carriers,0.5162721893491125,FTD,55-70,All
104,FTD|55-70|All|Non Carriers,0.5651577503429356,FTD,55-70,All
105,FTD|55-70|All|Non Carriers,0.6172839506172839,FTD,55-70,All
106,FTD|55-70|All|All,0.6190815236739053,FTD,55-70,All
107,FTD|55-70|All|All,0.6183695265218939,FTD,55-70,All
108,FTD|60-70|Male|Carriers,0.3333333333333333,FTD,60-70,Male
109,FTD|60-70|Male|Carriers,0.38888888888888884,FTD,60-70,Male
110,FTD|60-70|Male|Non Carriers,0.4444444444444444,FTD,60-70,Male
111,FTD|60-70|Male|Non Carriers,0.4444444444444444,FTD,60-70,Male
112,FTD|60-70|Male|All,0.5916955017301039,FTD,60-70,Male
113,FTD|60-70|Male|All,0.5813148788927336,FTD,60-70,Male
114,FTD|60-70|Female|Carriers,0.596938775510204,FTD,60-70,Female
115,FTD|60-70|Female|Carriers,0.5357142857142857,FTD,60-70,Female
116,FTD|60-70|Female|Non Carriers,0.6115702479338843,FTD,60-70,Female
117,FTD|60-70|Female|Non Carriers,0.4545454545454546,FTD,60-70,Female
118,FTD|60-70|Female|All,0.5536,FTD,60-70,Female
119,FTD|60-70|Female|All,0.6607999999999999,FTD,60-70,Female
120,FTD|60-70|All|Carriers,0.5268595041322314,FTD,60-70,All
121,FTD|60-70|All|Carriers,0.609504132231405,FTD,60-70,All
122,FTD|60-70|All|Non Carriers,0.7200000000000001,FTD,60-70,All
123,FTD|60-70|All|Non Carriers,0.6699999999999999,FTD,60-70,All
124,FTD|60-70|All|All,0.6133044889129259,FTD,60-70,All
125,FTD|60-70|All|All,0.7095727420227149,FTD,60-70,All
126,FTD|50-60|Male|Carriers,0.5,FTD,50-60,Male
127,FTD|50-60|Male|Carriers,0.5,FTD,50-60,Male
128,FTD|50-60|Male|Non Carriers,0.5,FTD,50-60,Male
129,FTD|50-60|Male|Non Carriers,0.5,FTD,50-60,Male
130,FTD|50-60|Male|All,0.365,FTD,50-60,Male
131,FTD|50-60|Male|All,0.4,FTD,50-60,Male
132,FTD|50-60|Female|Carriers,0.5,FTD,50-60,Female
133,FTD|50-60|Female|Carriers,0.5,FTD,50-60,Female
134,FTD|50-60|Female|Non Carriers,0.5,FTD,50-60,Female
135,FTD|50-60|Female|Non Carriers,0.5,FTD,50-60,Female
136,FTD|50-60|Female|All,0.4375,FTD,50-60,Female
137,FTD|50-60|Female|All,0.625,FTD,50-60,Female
138,FTD|50-60|All|Carriers,0.5,FTD,50-60,All
139,FTD|50-60|All|Carriers,0.5,FTD,50-60,All
140,FTD|50-60|All|Non Carriers,0.3801652892561983,FTD,50-60,All
141,FTD|50-60|All|Non Carriers,0.5,FTD,50-60,All
142,FTD|50-60|All|All,0.38580246913580246,FTD,50-60,All
143,FTD|50-60|All|All,0.49691358024691357,FTD,50-60,All
144,VD|50-70|Male|Carriers,0.676905456059975,VD,50-70,Male
145,VD|50-70|Male|Carriers,0.6257809246147438,VD,50-70,Male
146,VD|50-70|Male|Non Carriers,0.668834547346514,VD,50-70,Male
147,VD|50-70|Male|Non Carriers,0.61420395421436,VD,50-70,Male
148,VD|50-70|Male|All,0.6919921875000001,VD,50-70,Male
149,VD|50-70|Male|All,0.6613281249999999,VD,50-70,Male
150,VD|50-70|Female|Carriers,0.6361111111111112,VD,50-70,Female
151,VD|50-70|Female|Carriers,0.6525000000000001,VD,50-70,Female
152,VD|50-70|Female|Non Carriers,0.6607503454139654,VD,50-70,Female
153,VD|50-70|Female|Non Carriers,0.6962482729301733,VD,50-70,Female
154,VD|50-70|Female|All,0.6914141306886958,VD,50-70,Female
155,VD|50-70|Female|All,0.6695194206714945,VD,50-70,Female
156,VD|50-70|All|Carriers,0.658004376735965,VD,50-70,All
157,VD|50-70|All|Carriers,0.6820764245433887,VD,50-70,All
158,VD|50-70|All|Non Carriers,0.6381472251888771,VD,50-70,All
159,VD|50-70|All|Non Carriers,0.6868399193069894,VD,50-70,All
160,VD|50-70|All|All,0.6941792315431755,VD,50-70,All
161,VD|50-70|All|All,0.7096933067846816,VD,50-70,All
162,VD|55-70|Male|Carriers,0.6494140625000001,VD,55-70,Male
163,VD|55-70|Male|Carriers,0.6850043402777778,VD,55-70,Male
164,VD|55-70|Male|Non Carriers,0.6699999999999999,VD,55-70,Male
165,VD|55-70|Male|Non Carriers,0.6458333333333333,VD,55-70,Male
166,VD|55-70|Male|All,0.6727892833662064,VD,55-70,Male
167,VD|55-70|Male|All,0.6420529257067719,VD,55-70,Male
168,VD|55-70|Female|Carriers,0.6322177535191037,VD,55-70,Female
169,VD|55-70|Female|Carriers,0.624964090778512,VD,55-70,Female
170,VD|55-70|Female|Non Carriers,0.6526315789473683,VD,55-70,Female
171,VD|55-70|Female|Non Carriers,0.7385041551246538,VD,55-70,Female
172,VD|55-70|Female|All,0.6562833748665006,VD,55-70,Female
173,VD|55-70|Female|All,0.6425329298682805,VD,55-70,Female
174,VD|55-70|All|Carriers,0.6356668704690365,VD,55-70,All
175,VD|55-70|All|Carriers,0.6137653943575858,VD,55-70,All
176,VD|55-70|All|Non Carriers,0.692486992715921,VD,55-70,All
177,VD|55-70|All|Non Carriers,0.718834547346514,VD,55-70,All
178,VD|55-70|All|All,0.6878768516682456,VD,55-70,All
179,VD|55-70|All|All,0.6886773745786239,VD,55-70,All
180,VD|60-70|Male|Carriers,0.6330340264650284,VD,60-70,Male
181,VD|60-70|Male|Carriers,0.6590264650283554,VD,60-70,Male
182,VD|60-70|Male|Non Carriers,0.5857780612244897,VD,60-70,Male
183,VD|60-70|Male|Non Carriers,0.6705994897959184,VD,60-70,Male
184,VD|60-70|Male|All,0.6714298758217677,VD,60-70,Male
185,VD|60-70|Male|All,0.6175584368151936,VD,60-70,Male
186,VD|60-70|Female|Carriers,0.6664422186684622,VD,60-70,Female
187,VD|60-70|Female|Carriers,0.6061779311505765,VD,60-70,Female
188,VD|60-70|Female|Non Carriers,0.6697053771964593,VD,60-70,Female
189,VD|60-70|Female|Non Carriers,0.6546439423966178,VD,60-70,Female
190,VD|60-70|Female|All,0.6632653061224489,VD,60-70,Female
191,VD|60-70|Female|All,0.6647750937109538,VD,60-70,Female
192,VD|60-70|All|Carriers,0.6319893071953665,VD,60-70,All
193,VD|60-70|All|Carriers,0.6600826712210095,VD,60-70,All
194,VD|60-70|All|Non Carriers,0.6893246613526334,VD,60-70,All
195,VD|60-70|All|Non Carriers,0.648491368771089,VD,60-70,All
196,VD|60-70|All|All,0.6709369929691726,VD,60-70,All
197,VD|60-70|All|All,0.6818128042184965,VD,60-70,All
198,VD|50-60|Male|Carriers,0.5,VD,50-60,Male
199,VD|50-60|Male|Carriers,0.5,VD,50-60,Male
200,VD|50-60|Male|Non Carriers,0.5,VD,50-60,Male
201,VD|50-60|Male|Non Carriers,0.5,VD,50-60,Male
